GeneA,GeneB,Direction,Sign
YGL180W,YOR204W,1,0
YHR135C,YDR439W,1,0
YHL007C,YBR130C,1,0
YGR092W,YNR006W,1,0
YNL154C,YLR257W,1,0
YDR477W,YPR171W,1,0
YNL307C,YDR134C,1,0
YNL307C,YFR022W,1,0
YPL031C,YIL156W,1,0
YFR014C,YMR165C,1,0
YBR160W,YDR130C,1,0
YMR216C,YPL139C,1,0
YGL180W,YJR044C,1,0
YBL016W,YMR235C,1,0
YJL106W,YGL051W,1,0
YDR477W,YOL059W,1,0
YBR160W,YOR058C,1,0
YNL307C,YNL027W,1,0
YGL180W,YKR045C,1,0
YBR160W,YPL250C,1,0
YBR160W,YER041W,1,0
YCL024W,YML096W,1,0
YGL059W,YKL062W,1,0
YPL031C,YKR048C,1,0
YGR040W,YKL142W,1,0
YCR091W,YOL104C,1,0
YHR082C,YNL293W,1,0
YKL166C,YBR142W,1,0
YJR059W,YOR113W,1,0
YLR248W,YJL128C,1,0
YHR082C,YHL024W,1,0
YHR135C,YGL079W,1,0
YBL088C,YAR007C,1,0
YOL113W,YBR086C,1,0
YBR160W,YJR054W,1,0
YHR135C,YFL034W,1,0
YGL180W,YBR086C,1,0
YDL235C,YIL147C,0,0
YKL101W,YOR239W,1,0
YOR061W,YER027C,1,0
YNL154C,YDR099W,1,0
YNL154C,YGR027WA,1,0
YHR135C,YOR260W,1,0
YMR139W,YBR273C,1,0
YPL204W,YPR181C,1,0
YOR039W,YJR093C,1,0
YGR040W,YBL023C,1,0
YPL141C,YPL190C,1,0
YKL166C,YFR014C,1,0
YHR135C,YHL013C,1,0
YPL031C,YKR021W,1,0
YFR014C,YPL156C,1,0
YJL141C,YGR267C,1,0
YJR059W,YGL014W,1,0
YKL101W,YNL077W,1,0
YNL307C,YGR140W,1,0
YDL108W,YPR013C,1,0
YJL164C,YNL045W,1,0
YHR135C,YGL190C,1,0
YGR040W,YGR116W,1,0
YHL007C,YDR026C,1,0
YHR082C,YNR006W,1,0
YDR247W,YCR073WA,1,0
YOL113W,YPL088W,1,0
YNL154C,YDL204W,1,0
YGL158W,YJR096W,1,0
YHR135C,YIL156W,1,0
YHR135C,YOR092W,1,0
YOR233W,YGR276C,1,0
YBR160W,YKL108W,1,0
YPL203W,YIL033C,1,0
YHR082C,YBR130C,1,0
YJR059W,YHR112C,1,0
YHR082C,YOR307C,1,0
YPL203W,YKL093W,1,0
YKL101W,YPL257WA,1,0
YHR079C,YPL128C,1,0
YJL106W,YOR239W,1,0
YJL187C,YLR231C,1,0
YGL179C,YMR081C,1,0
YBR160W,YGL075C,1,0
YJL165C,YDL212W,1,0
YJL164C,YKR009C,1,0
YBR160W,YPL124W,1,0
YGL180W,YMR290C,1,0
YGL180W,YDL220C,1,0
YJL141C,YBL066C,1,0
YBR160W,YOR249C,1,0
YPL031C,YER096W,1,0
YFR014C,YHR090C,1,0
YHL007C,YML096W,1,0
YJR059W,YEL032W,1,0
YPL031C,YMR290C,1,0
YBR160W,YHR159W,1,0
YGL019W,YKL089W,1,0
YPR120C,YML065W,1,0
YHR079C,YLL043W,1,0
YJR059W,YJR099W,1,0
YBR160W,YIL101C,1,0
YHR135C,YOR239W,1,0
YOL128C,YJR059W,1,0
YOR267C,YPR032W,1,0
YNL154C,YLR314C,1,0
YOL113W,YDL209C,1,0
YGL059W,YBR157C,1,0
YPL209C,YER016W,1,0
YBR059C,YNL277W,1,0
YGL180W,YPR158WA,1,0
YLR362W,YOL016C,1,0
YDR247W,YBL024W,1,0
YCR091W,YDL006W,1,0
YKL101W,YBR133C,1,0
YJL165C,YKL038W,1,0
YGL180W,YHR090C,1,0
YHR082C,YBL069W,1,0
YHR135C,YGL256W,1,0
YJL187C,YLR215C,1,0
YKL166C,YPL240C,1,0
YLR096W,YNR039C,1,0
YOR061W,YGR082W,1,0
