Forest name	Forest size	Steiner nodes	Prizes in forest	Total prizes	UBC degree	UBC degree / forest size
prizes_beta1.00_mu0.070_omega6.5_seed122815_optimalForest.sif	169	3	166	1596	0	0.000000
prizes_beta1.00_mu0.055_omega9.5_seed122815_optimalForest.sif	176	3	173	1596	0	0.000000
prizes_beta1.00_mu0.000_omega5.0_seed122815_optimalForest.sif	304	9	295	1596	0	0.000000
prizes_beta1.00_mu0.055_omega7.5_seed122815_optimalForest.sif	176	3	173	1596	0	0.000000
prizes_beta1.00_mu0.000_omega5.5_seed122815_optimalForest.sif	299	10	289	1596	0	0.000000
prizes_beta1.00_mu0.000_omega4.5_seed122815_optimalForest.sif	304	9	295	1596	0	0.000000
prizes_beta1.00_mu0.050_omega0.5_seed122815_optimalForest.sif	187	3	184	1596	0	0.000000
prizes_beta1.00_mu0.040_omega2.5_seed122815_optimalForest.sif	195	3	192	1596	0	0.000000
prizes_beta1.00_mu0.050_omega4.0_seed122815_optimalForest.sif	187	3	184	1596	0	0.000000
prizes_beta1.00_mu0.045_omega1.5_seed122815_optimalForest.sif	190	3	187	1596	0	0.000000
prizes_beta1.00_mu0.100_omega3.5_seed122815_optimalForest.sif	125	2	123	1596	0	0.000000
prizes_beta1.25_mu0.010_omega1.0_seed122815_optimalForest.sif	337	9	328	1596	0	0.000000
prizes_beta1.00_mu0.090_omega8.5_seed122815_optimalForest.sif	132	2	130	1596	0	0.000000
prizes_beta1.25_mu0.015_omega3.0_seed122815_optimalForest.sif	325	9	316	1596	0	0.000000
prizes_beta0.75_mu0.095_omega5.5_seed122815_optimalForest.sif	37	1	36	1596	0	0.000000
prizes_beta1.25_mu0.000_omega2.5_seed122815_optimalForest.sif	369	10	359	1596	0	0.000000
prizes_beta1.25_mu0.000_omega7.5_seed122815_optimalForest.sif	369	10	359	1596	0	0.000000
prizes_beta1.25_mu0.005_omega6.5_seed122815_optimalForest.sif	358	9	349	1596	0	0.000000
prizes_beta1.00_mu0.075_omega9.0_seed122815_optimalForest.sif	140	3	137	1596	0	0.000000
prizes_beta1.25_mu0.010_omega6.5_seed122815_optimalForest.sif	337	9	328	1596	0	0.000000
prizes_beta1.00_mu0.075_omega3.5_seed122815_optimalForest.sif	140	2	138	1596	0	0.000000
