Edge	Weight	FractionOfOptimalForestsContaining
YHL007C (pd) YBR108W	0.5	1.0
YHL007C (pd) YBR130C	0.5	0.0
YHL007C (pd) YBR200W	0.5	0.0
YHL007C (pd) YCR073WA	0.5	1.0
YHL007C (pd) YDL070W	0.5	0.0
YHL007C (pd) YDL149W	0.5	1.0
YHL007C (pd) YDR037W	0.5	1.0
YHL007C (pd) YDR251W	0.5	1.0
YHL007C (pd) YDR293C	0.5	1.0
YHL007C (pd) YDR330W	0.5	0.0
YHL007C (pd) YER063W	0.5	1.0
YHL007C (pd) YER122C	0.5	1.0
YHL007C (pd) YGR159C	0.5	1.0
YHL007C (pd) YHL024W	0.5	1.0
YHL007C (pd) YHR131C	0.5	1.0
YHL007C (pd) YKL129C	0.5	1.0
YHL007C (pd) YLR314C	0.5	0.0
YHL007C (pd) YLR362W	0.5	1.0
YHL007C (pd) YMR165C	0.5	1.0
YHL007C (pd) YNL027W	0.5	1.0
YHL007C (pd) YNL101W	0.5	1.0
YHL007C (pd) YNL118C	0.5	1.0
YHL007C (pd) YNL173C	0.5	1.0
YHL007C (pd) YNL272C	0.5	0.0
YHL007C (pd) YOR028C	0.5	1.0
YHL007C (pd) YOR092W	0.5	1.0
YHL007C (pd) YOR113W	0.5	1.0
YHL007C (pd) YOR208W	0.5	0.0
YHL007C (pd) YPL217C	0.5	1.0
YHL007C (pd) YPR032W	0.5	1.0
YHL007C (pd) YPR091C	0.5	0.0
YHR030C (pd) YDL140C	0.5	0.0
